===== query1 =====
(4, 738588)
(6, 318095)
(2, 362724)
(9, 324100)
(3, 88792)
(0, 103327)
(5, 309096)
(7, 245234)
(1, 690552)
(8, 49932)
Run time(seconds): 0.002370119094848633
===== query2 =====
(2, 362724)
(1, 690552)
(8, 49932)
(5, 309096)
(9, 324100)
(7, 245234)
(3, 88792)
(4, 738588)
(6, 318095)
(0, 103327)
Run time(seconds): 0.0007162094116210938
===== query3 =====
(9, 'Name9', 324100)
(3, 'Name3', 88792)
(1, 'Name1', 690552)
(0, 'Name0', 103327)
(4, 'Name4', 738588)
(8, 'Name8', 49932)
(6, 'Name6', 318095)
(7, 'Name7', 245234)
(5, 'Name5', 309096)
(2, 'Name2', 362724)
Run time(seconds): 0.0005979537963867188
===== query4 =====
(6, 'Name6', 318095)
(4, 'Name4', 738588)
(8, 'Name8', 49932)
(1, 'Name1', 690552)
(9, 'Name9', 324100)
(7, 'Name7', 245234)
(0, 'Name0', 103327)
(5, 'Name5', 309096)
(3, 'Name3', 88792)
(2, 'Name2', 362724)
Run time(seconds): 0.0004298686981201172
===== query5 =====
(5, 'Name5', 7, 'Title7', 10918)
(6, 'Name6', 1, 'Title1', 25086)
(1, 'Name1', 6, 'Title6', 60904)
(2, 'Name2', 1, 'Title1', 40182)
(3, 'Name3', 7, 'Title7', 2266)
(6, 'Name6', 0, 'Title0', 31979)
(3, 'Name3', 5, 'Title5', 14454)
(6, 'Name6', 7, 'Title7', 11639)
(7, 'Name7', 0, 'Title0', 20093)
(7, 'Name7', 7, 'Title7', 7313)
(7, 'Name7', 2, 'Title2', 54031)
(3, 'Name3', 2, 'Title2', 16742)
(9, 'Name9', 6, 'Title6', 57925)
(4, 'Name4', 7, 'Title7', 18849)
(6, 'Name6', 5, 'Title5', 74241)
(2, 'Name2', 3, 'Title3', 87604)
(1, 'Name1', 3, 'Title3', 89056)
(4, 'Name4', 3, 'Title3', 88572)
(1, 'Name1', 8, 'Title8', 46184)
(3, 'Name3', 8, 'Title8', 5522)
(0, 'Name0', 9, 'Title9', 11774)
(3, 'Name3', 6, 'Title6', 7282)
(0, 'Name0', 7, 'Title7', 2987)
(1, 'Name1', 7, 'Title7', 18952)
(4, 'Name4', 8, 'Title8', 45933)
(5, 'Name5', 5, 'Title5', 69642)
(4, 'Name4', 4, 'Title4', 98454)
(1, 'Name1', 2, 'Title2', 140024)
(1, 'Name1', 5, 'Title5', 120888)
(1, 'Name1', 9, 'Title9', 74704)
(8, 'Name8', 8, 'Title8', 19076)
(3, 'Name3', 1, 'Title1', 4884)
(4, 'Name4', 6, 'Title6', 60573)
(0, 'Name0', 4, 'Title4', 15602)
(9, 'Name9', 5, 'Title5', 114975)
(6, 'Name6', 8, 'Title8', 28363)
(0, 'Name0', 2, 'Title2', 22069)
(1, 'Name1', 4, 'Title4', 98992)
(5, 'Name5', 2, 'Title2', 80666)
(2, 'Name2', 5, 'Title5', 118917)
(7, 'Name7', 1, 'Title1', 15762)
(3, 'Name3', 4, 'Title4', 11836)
(4, 'Name4', 2, 'Title2', 139263)
(2, 'Name2', 7, 'Title7', 18643)
(4, 'Name4', 1, 'Title1', 40626)
(7, 'Name7', 5, 'Title5', 46647)
(6, 'Name6', 4, 'Title4', 60794)
(7, 'Name7', 9, 'Title9', 28826)
(7, 'Name7', 4, 'Title4', 38198)
(0, 'Name0', 3, 'Title3', 14036)
(0, 'Name0', 0, 'Title0', 8207)
(3, 'Name3', 3, 'Title3', 10648)
(9, 'Name9', 7, 'Title7', 18025)
(9, 'Name9', 2, 'Title2', 133175)
(5, 'Name5', 3, 'Title3', 51304)
(5, 'Name5', 9, 'Title9', 43036)
(5, 'Name5', 1, 'Title1', 23532)
(8, 'Name8', 9, 'Title9', 30856)
(0, 'Name0', 5, 'Title5', 19053)
(4, 'Name4', 0, 'Title0', 51789)
(1, 'Name1', 1, 'Title1', 40848)
(3, 'Name3', 0, 'Title0', 6226)
(2, 'Name2', 4, 'Title4', 97378)
(3, 'Name3', 9, 'Title9', 8932)
(4, 'Name4', 9, 'Title9', 74298)
(5, 'Name5', 0, 'Title0', 29998)
(7, 'Name7', 3, 'Title3', 34364)
(4, 'Name4', 5, 'Title5', 120231)
(0, 'Name0', 6, 'Title6', 9599)
(6, 'Name6', 2, 'Title2', 85993)
Run time(seconds): 0.0009427070617675781
===== query6 =====
(1, 'Name1', 8, 'Title8', 46184)
(9, 'Name9', 7, 'Title7', 18025)
(1, 'Name1', 1, 'Title1', 40848)
(4, 'Name4', 8, 'Title8', 45933)
(7, 'Name7', 2, 'Title2', 54031)
(6, 'Name6', 2, 'Title2', 85993)
(2, 'Name2', 3, 'Title3', 87604)
(3, 'Name3', 3, 'Title3', 10648)
(1, 'Name1', 9, 'Title9', 74704)
(4, 'Name4', 1, 'Title1', 40626)
(7, 'Name7', 0, 'Title0', 20093)
(1, 'Name1', 5, 'Title5', 120888)
(1, 'Name1', 3, 'Title3', 89056)
(7, 'Name7', 7, 'Title7', 7313)
(3, 'Name3', 0, 'Title0', 6226)
(3, 'Name3', 9, 'Title9', 8932)
(7, 'Name7', 1, 'Title1', 15762)
(4, 'Name4', 2, 'Title2', 139263)
(3, 'Name3', 1, 'Title1', 4884)
(9, 'Name9', 5, 'Title5', 114975)
(7, 'Name7', 4, 'Title4', 38198)
(6, 'Name6', 5, 'Title5', 74241)
(4, 'Name4', 9, 'Title9', 74298)
(4, 'Name4', 7, 'Title7', 18849)
(4, 'Name4', 5, 'Title5', 120231)
(0, 'Name0', 6, 'Title6', 9599)
(8, 'Name8', 8, 'Title8', 19076)
(5, 'Name5', 9, 'Title9', 43036)
(0, 'Name0', 0, 'Title0', 8207)
(5, 'Name5', 5, 'Title5', 69642)
(9, 'Name9', 6, 'Title6', 57925)
(6, 'Name6', 0, 'Title0', 31979)
(3, 'Name3', 4, 'Title4', 11836)
(6, 'Name6', 7, 'Title7', 11639)
(9, 'Name9', 2, 'Title2', 133175)
(0, 'Name0', 2, 'Title2', 22069)
(1, 'Name1', 4, 'Title4', 98992)
(1, 'Name1', 6, 'Title6', 60904)
(4, 'Name4', 6, 'Title6', 60573)
(7, 'Name7', 3, 'Title3', 34364)
(4, 'Name4', 3, 'Title3', 88572)
(8, 'Name8', 9, 'Title9', 30856)
(4, 'Name4', 4, 'Title4', 98454)
